note,total_pnl,total_return,num_trades,win_rate,profit_factor,max_drawdown,trade_volatility,sharpe_ratio
min_hold_ticks_60,1.3000000000000114,0.020634255696574122,164,0.4695121951219512,1.0802469135802475,0.038054704313953636,0.0034828766266002866,0.036124917929980786
min_hold_ticks_120,3.1000000000000085,0.04029787575690253,109,0.46788990825688076,1.201954397394137,0.043272680860713786,0.005224133311026535,0.07076873045966953
min_hold_ticks_180,3.0500000000000256,0.037261906867053884,85,0.49411764705882355,1.2013201320132036,0.03828023128445701,0.007051364230761064,0.0621688740732092
min_hold_ticks_300,8.949999999999918,0.1087486073694669,69,0.6086956521739131,1.8817733990147671,0.030789739863121612,0.006371490477696076,0.2473623368013631
min_hold_ticks_420,3.69999999999996,0.05056275449434719,60,0.6,1.2750929368029704,0.059520231417057645,0.0072139499558486996,0.11681708080363913
min_hold_ticks_540,6.900000000000034,0.09122563573594085,52,0.5769230769230769,1.5520000000000047,0.04155755831283903,0.009127825941692974,0.19219682320571385
min_hold_ticks_600,2.0499999999999687,0.03297543545947775,49,0.5306122448979592,1.130158730158728,0.06727851982047994,0.009948962524036995,0.06764203493335869
min_hold_ticks_720,-0.5999999999999375,-0.009791110529132008,43,0.46511627906976744,0.9525691699604791,0.07051805493903929,0.010068072435607115,-0.022616071380082845
min_hold_ticks_900,-1.5499999999999972,-0.014329980548746566,39,0.38461538461538464,0.8923611111111114,0.05673554257735347,0.011543751355040646,-0.03182980881906874
min_hold_ticks_1200,3.4499999999999744,0.046477739690885284,35,0.45714285714285713,1.306666666666664,0.05064895866599062,0.012419341504261239,0.10692478496415833
min_hold_ticks_1500,-0.6500000000000341,-0.00913779160541018,32,0.5,0.9442060085836882,0.0847457420898523,0.011852062641650047,-0.0240933579498288
min_hold_ticks_1800,3.950000000000003,0.044816231020317614,29,0.5517241379310345,1.305019305019305,0.07990332779686982,0.016604697128403973,0.09306928422796336
max_hold_ticks_300,8.949999999999918,0.1087486073694669,69,0.6086956521739131,1.8817733990147671,0.030789739863121612,0.006371490477696076,0.2473623368013631
max_hold_ticks_320,8.299999999999898,0.10159544860881844,67,0.6119402985074627,1.7904761904761775,0.0307897398631215,0.006430999202593537,0.23578761736194467
max_hold_ticks_340,7.849999999999923,0.09628870881023224,65,0.6153846153846154,1.769607843137244,0.03363235059567238,0.00642317899455432,0.230627972874892
max_hold_ticks_360,7.249999999999915,0.09017725949625299,65,0.6153846153846154,1.6744186046511522,0.03363235059567249,0.006520939063578651,0.21275194266685
max_hold_ticks_380,7.099999999999909,0.08816875251131848,65,0.6153846153846154,1.6604651162790587,0.03363235059567249,0.006503298506814387,0.2085775925719307
max_hold_ticks_400,6.099999999999909,0.07480561844210429,65,0.6,1.5446428571428468,0.03363235059567249,0.006537084200939655,0.17605030514593026
no_depth_imbalance,3.7499999999998437,0.05557836442077555,91,0.5164835164835165,1.1820388349514483,0.061319544268891746,0.008358014332653261,0.07307372697185556
no_relative_spread,3.7999999999999687,0.048611512119586836,104,0.5769230769230769,1.1909547738693447,0.052044578630978444,0.006346731486768221,0.07364710272362085
no_signed_vol,10.499999999999943,0.13821785472121934,86,0.5581395348837209,1.638297872340422,0.04171771855104134,0.007831331546971776,0.20522491578650476
no_price_change,-4.100000000000051,-0.02530664727684087,293,0.49146757679180886,0.93160967472894,0.15658076143887278,0.008122132279080445,-0.010634006791668269
no_low_vol,-2.1500000000001194,0.004205726344960192,281,0.48398576512455516,0.9653505237711504,0.15767741433721227,0.008602504966934566,0.0017398417933411378
no_volume_ok,1.599999999999966,0.028535882851985342,87,0.5632183908045977,1.0778588807785872,0.04620940875467472,0.00755518506515353,0.04341371530181446
no_channel_position,5.799999999999827,0.0714880130795333,108,0.5277777777777778,1.2600896860986455,0.0790465725645525,0.0075352015954780124,0.08784450404484831
