trade_id,signal_name,direction,entry_time,entry_price,entry_type,exit_time,exit_price,exit_type,pnl,duration_seconds
1,volatility_breakout_reversed,long,2025-04-01 09:32:05,55.5,ask_open,2025-04-01 09:42:47,53.9,bid_close,-1.6000000000000014,642.0
2,volatility_breakout_reversed,short,2025-04-01 09:42:48,53.85,bid_open,2025-04-01 09:53:11,53.55,ask_close,0.30000000000000426,623.0
3,volatility_breakout_reversed,short,2025-04-02 09:33:48,53.3,bid_open,2025-04-02 09:48:54,53.6,ask_close,-0.30000000000000426,906.0
4,volatility_breakout_reversed,short,2025-04-02 10:52:55,52.0,bid_open,2025-04-02 11:11:11,52.25,ask_close,-0.25,1096.0
5,volatility_breakout_reversed,short,2025-04-03 09:31:04,53.6,bid_open,2025-04-03 09:40:57,53.5,ask_close,0.10000000000000142,593.0
6,volatility_breakout_reversed,long,2025-04-03 09:46:35,53.75,ask_open,2025-04-03 09:57:12,53.25,bid_close,-0.5,637.0
7,volatility_breakout_reversed,short,2025-04-03 10:28:23,52.75,bid_open,2025-04-03 10:47:02,52.25,ask_close,0.5,1119.0
8,volatility_breakout_reversed,short,2025-04-03 13:00:53,52.05,bid_open,2025-04-03 13:22:00,51.75,ask_close,0.29999999999999716,1267.0
9,volatility_breakout_reversed,short,2025-04-07 09:38:50,43.95,bid_open,2025-04-07 09:47:32,45.0,ask_close,-1.0499999999999972,522.0
10,volatility_breakout_reversed,long,2025-04-07 09:58:48,45.7,ask_open,2025-04-07 10:07:57,45.75,bid_close,0.04999999999999716,549.0
11,volatility_breakout_reversed,long,2025-04-07 10:09:22,45.95,ask_open,2025-04-07 10:19:49,46.65,bid_close,0.6999999999999957,627.0
12,volatility_breakout_reversed,long,2025-04-07 10:21:07,46.8,ask_open,2025-04-07 10:31:57,46.5,bid_close,-0.29999999999999716,650.0
13,volatility_breakout_reversed,short,2025-04-07 10:33:51,46.35,bid_open,2025-04-07 10:50:39,45.7,ask_close,0.6499999999999986,1008.0
14,volatility_breakout_reversed,long,2025-04-07 13:01:11,44.3,ask_open,2025-04-07 13:16:22,43.95,bid_close,-0.3499999999999943,911.0
15,volatility_breakout_reversed,short,2025-04-07 14:19:50,42.75,bid_open,2025-04-07 14:31:33,43.3,ask_close,-0.5499999999999972,703.0
16,volatility_breakout_reversed,short,2025-04-07 14:31:35,43.25,bid_open,2025-04-07 14:44:09,43.55,ask_close,-0.29999999999999716,754.0
17,volatility_breakout_reversed,long,2025-04-07 14:45:36,44.0,ask_open,2025-04-07 14:57:17,44.05,bid_close,0.04999999999999716,701.0
18,volatility_breakout_reversed,short,2025-04-07 15:27:16,43.85,bid_open,2025-04-07 15:41:12,43.5,ask_close,0.3500000000000014,836.0
19,volatility_breakout_reversed,short,2025-04-07 15:52:17,43.05,bid_open,2025-04-08 09:42:51,43.6,ask_close,-0.5500000000000043,64234.0
20,volatility_breakout_reversed,short,2025-04-08 10:01:38,43.6,bid_open,2025-04-08 10:12:32,44.1,ask_close,-0.5,654.0
21,volatility_breakout_reversed,long,2025-04-08 10:18:01,43.9,ask_open,2025-04-08 10:27:10,44.0,bid_close,0.10000000000000142,549.0
22,volatility_breakout_reversed,short,2025-04-08 10:28:42,43.6,bid_open,2025-04-08 10:40:42,44.0,ask_close,-0.3999999999999986,720.0
23,volatility_breakout_reversed,long,2025-04-08 13:37:53,43.15,ask_open,2025-04-08 13:56:18,42.75,bid_close,-0.3999999999999986,1105.0
24,volatility_breakout_reversed,short,2025-04-09 09:33:33,41.65,bid_open,2025-04-09 09:43:11,41.45,ask_close,0.19999999999999574,578.0
25,volatility_breakout_reversed,short,2025-04-09 09:55:11,41.5,bid_open,2025-04-09 10:06:04,42.1,ask_close,-0.6000000000000014,653.0
26,volatility_breakout_reversed,short,2025-04-09 11:09:44,42.55,bid_open,2025-04-09 11:21:31,42.5,ask_close,0.04999999999999716,707.0
27,volatility_breakout_reversed,long,2025-04-09 11:27:50,42.9,ask_open,2025-04-09 11:39:29,42.85,bid_close,-0.04999999999999716,699.0
28,volatility_breakout_reversed,short,2025-04-09 15:07:46,43.75,bid_open,2025-04-09 15:18:01,44.05,ask_close,-0.29999999999999716,615.0
29,volatility_breakout_reversed,short,2025-04-09 15:19:54,44.0,bid_open,2025-04-09 15:31:27,44.4,ask_close,-0.3999999999999986,693.0
30,volatility_breakout_reversed,long,2025-04-10 09:31:34,46.9,ask_open,2025-04-10 09:38:20,46.1,bid_close,-0.7999999999999972,406.0
31,volatility_breakout_reversed,short,2025-04-10 09:38:22,46.1,bid_open,2025-04-10 09:45:19,46.5,ask_close,-0.3999999999999986,417.0
32,volatility_breakout_reversed,short,2025-04-10 10:00:39,47.2,bid_open,2025-04-10 10:08:59,46.95,ask_close,0.25,500.0
33,volatility_breakout_reversed,long,2025-04-10 10:37:47,46.95,ask_open,2025-04-10 10:47:56,47.6,bid_close,0.6499999999999986,609.0
34,volatility_breakout_reversed,short,2025-04-10 10:57:10,47.9,bid_open,2025-04-10 11:11:30,47.55,ask_close,0.3500000000000014,860.0
35,volatility_breakout_reversed,long,2025-04-10 13:01:32,47.4,ask_open,2025-04-10 13:15:57,47.15,bid_close,-0.25,865.0
